TransactionID,SaleDate,OrderDate,ShipDate,CustomerID,ProductID,SaleAmount,Quantity,ShipMode,CustomerSatisfactionScore,PaymentType
142,9/19/2014,9/19/2014,9/24/2014,SH-19975,OFF-AR-10000940,8.82,3,Standard Class,5,Credit Card
143,9/19/2014,9/19/2014,9/24/2014,SH-19975,OFF-EN-10004030,10.86,3,Standard Class,4,Credit Card
144,9/19/2014,9/19/2014,9/24/2014,SH-19975,OFF-PA-10004327,143.7,3,Standard Class,4,Credit Card
145,12/23/2014,12/23/2014,12/28/2014,SG-20080,OFF-AP-10001058,839.43,3,Standard Class,2,Credit Card
146,9/7/2012,9/7/2012,9/12/2012,HA-14920,OFF-ST-10003656,671.93,7,Standard Class,3,PayPal
147,10/22/2011,10/22/2011,10/28/2011,MG-17680,FUR-FU-10000521,93.888,4,Standard Class,4,Bank Transfer
148,12/6/2013,12/6/2013,12/10/2013,JE-16165,TEC-PH-10000215,384.45,11,Standard Class,5,Bank Transfer
149,12/6/2013,12/6/2013,12/10/2013,JE-16165,TEC-PH-10001448,149.97,3,Standard Class,4,Credit Card
150,12/6/2013,12/6/2013,12/10/2013,JE-16165,FUR-CH-10000454,1951.84,8,Standard Class,2,Credit Card
151,12/6/2013,12/6/2013,12/10/2013,JE-16165,OFF-BI-10002735,171.55,5,Standard Class,5,Credit Card
152,3/14/2013,3/14/2013,3/17/2013,TW-21025,OFF-AP-10000326,157.92,5,First Class,1,PayPal
153,3/14/2013,3/14/2013,3/17/2013,TW-21025,TEC-PH-10001254,203.184,2,First Class,3,Credit Card
154,5/31/2012,5/31/2012,6/2/2012,SP-20650,OFF-PA-10001950,58.38,7,First Class,1,Bank Transfer
155,5/31/2012,5/31/2012,6/2/2012,SP-20650,OFF-PA-10002254,105.52,4,First Class,3,Bank Transfer
156,5/31/2012,5/31/2012,6/2/2012,SP-20650,OFF-ST-10001590,80.88,6,First Class,1,PayPal
157,5/28/2012,5/28/2012,6/3/2012,NK-18490,OFF-AR-10001547,6.63,3,Standard Class,2,Credit Card
158,3/1/2011,3/1/2011,3/6/2011,DB-13060,FUR-CH-10004063,457.568,2,Second Class,1,PayPal
159,11/21/2013,11/21/2013,11/25/2013,NP-18670,OFF-LA-10002475,14.62,2,Standard Class,4,Bank Transfer
160,11/21/2013,11/21/2013,11/25/2013,NP-18670,TEC-PH-10004536,944.93,7,Standard Class,2,Bank Transfer
161,5/12/2013,5/12/2013,5/13/2013,TT-21070,OFF-PA-10002751,5.98,1,First Class,5,Bank Transfer
162,12/28/2012,12/28/2012,12/31/2012,EM-13960,TEC-AC-10003657,54.384,2,Second Class,4,Bank Transfer
163,11/17/2013,11/17/2013,11/21/2013,RD-19900,OFF-EN-10001990,28.4,5,Standard Class,5,Bank Transfer
164,11/8/2013,11/8/2013,11/12/2013,MJ-17740,OFF-BI-10004002,27.68,2,Standard Class,4,Credit Card
165,9/8/2011,9/8/2011,9/12/2011,BM-11140,OFF-AR-10004441,9.936,3,Standard Class,2,Bank Transfer
166,9/8/2011,9/8/2011,9/12/2011,BM-11140,TEC-MA-10000822,8159.952,8,Standard Class,1,PayPal
167,9/8/2011,9/8/2011,9/12/2011,BM-11140,OFF-ST-10000991,275.928,3,Standard Class,3,Bank Transfer
168,9/8/2011,9/8/2011,9/12/2011,BM-11140,FUR-CH-10004287,1740.06,9,Standard Class,1,Credit Card
169,9/8/2011,9/8/2011,9/12/2011,BM-11140,OFF-AR-10002656,32.064,6,Standard Class,4,Credit Card
170,9/8/2011,9/8/2011,9/12/2011,BM-11140,OFF-AP-10002518,177.98,5,Standard Class,3,Bank Transfer
171,9/8/2011,9/8/2011,9/12/2011,BM-11140,TEC-PH-10003931,143.976,3,Standard Class,1,PayPal
172,8/5/2011,8/5/2011,8/9/2011,CS-12130,OFF-PA-10000659,20.94,3,Standard Class,1,Credit Card
173,8/5/2011,8/5/2011,8/9/2011,CS-12130,OFF-PA-10001144,110.96,2,Standard Class,3,Credit Card
174,8/5/2011,8/5/2011,8/9/2011,CS-12130,FUR-CH-10003817,340.144,7,Standard Class,1,Credit Card
175,9/14/2011,9/14/2011,9/19/2011,JB-15400,OFF-AP-10000891,52.448,2,Standard Class,1,Bank Transfer
176,9/14/2011,9/14/2011,9/19/2011,JB-15400,OFF-LA-10003148,20.16,4,Standard Class,5,Credit Card
177,4/22/2014,4/22/2014,4/26/2014,SJ-20500,OFF-AP-10002684,97.264,4,Second Class,2,PayPal
178,11/21/2012,11/21/2012,11/23/2012,JE-15745,FUR-CH-10004698,396.802,7,Second Class,3,Credit Card
179,11/21/2012,11/21/2012,11/23/2012,JE-15745,OFF-SU-10002189,15.88,5,Second Class,4,Bank Transfer
180,12/15/2012,12/15/2012,12/19/2012,JK-15640,OFF-AR-10001940,3.28,1,Standard Class,4,Bank Transfer
181,12/5/2011,12/5/2011,12/9/2011,DK-13150,OFF-ST-10003455,24.816,2,Second Class,1,Bank Transfer
182,12/5/2011,12/5/2011,12/9/2011,DK-13150,TEC-AC-10004659,408.744,7,Second Class,5,Credit Card
183,11/19/2011,11/19/2011,11/24/2011,RM-19675,TEC-PH-10003273,503.96,4,Second Class,2,Bank Transfer
184,11/19/2011,11/19/2011,11/24/2011,RM-19675,TEC-PH-10004896,149.95,5,Second Class,5,Credit Card
185,11/19/2011,11/19/2011,11/24/2011,RM-19675,TEC-AC-10002345,29,2,Second Class,4,Bank Transfer
186,11/29/2013,11/29/2013,12/3/2013,SK-19990,OFF-BI-10001890,7.16,2,Standard Class,3,Credit Card
187,8/26/2011,8/26/2011,8/30/2011,FM-14290,TEC-AC-10002323,176.8,8,Standard Class,4,PayPal
188,7/17/2013,7/17/2013,7/23/2013,AM-10360,OFF-ST-10001328,37.224,3,Standard Class,4,Credit Card
189,7/17/2013,7/17/2013,7/23/2013,AM-10360,OFF-PA-10001950,20.016,3,Standard Class,2,Bank Transfer
190,10/12/2012,10/12/2012,10/14/2012,MP-17470,FUR-BO-10002613,899.136,4,First Class,4,Credit Card
191,10/12/2012,10/12/2012,10/14/2012,MP-17470,TEC-PH-10001552,71.76,6,First Class,2,PayPal
192,10/12/2012,10/12/2012,10/14/2012,MP-17470,OFF-PA-10000061,51.84,8,First Class,1,PayPal
193,10/12/2012,10/12/2012,10/14/2012,MP-17470,FUR-BO-10002545,626.352,3,First Class,2,Bank Transfer
194,10/12/2012,10/12/2012,10/14/2012,MP-17470,OFF-AR-10003514,19.9,5,First Class,3,Credit Card
195,10/31/2012,10/31/2012,11/6/2012,MZ-17515,OFF-EN-10001509,14.28,7,Standard Class,5,Credit Card
196,3/21/2011,3/21/2011,3/25/2011,CB-12025,OFF-AR-10004685,7.408,2,Standard Class,2,Credit Card
197,3/21/2011,3/21/2011,3/25/2011,CB-12025,OFF-AR-10004027,6.048,3,Standard Class,2,Bank Transfer
198,11/7/2014,11/7/2014,11/14/2014,VM-21685,OFF-ST-10001414,46.26,3,Standard Class,5,Credit Card
199,7/7/2014,7/7/2014,7/14/2014,FH-14365,OFF-BI-10000343,2.946,2,Standard Class,2,Bank Transfer
200,7/7/2014,7/7/2014,7/14/2014,FH-14365,OFF-PA-10002749,16.056,3,Standard Class,2,Credit Card
201,6/25/2014,6/25/2014,6/30/2014,MB-17305,OFF-PA-10002666,21.744,3,Standard Class,1,PayPal
202,8/3/2011,8/3/2011,8/5/2011,BS-11755,FUR-TA-10004289,218.75,2,First Class,4,PayPal
203,8/3/2011,8/3/2011,8/5/2011,BS-11755,OFF-AP-10003622,2.6,1,First Class,1,Credit Card
204,12/18/2014,12/18/2014,12/22/2014,LC-17140,OFF-AP-10003217,66.284,2,Second Class,5,Credit Card
205,6/4/2014,6/4/2014,6/8/2014,HK-14890,FUR-FU-10002960,35.168,7,Standard Class,2,Bank Transfer
206,12/10/2014,12/10/2014,12/15/2014,LE-16810,TEC-PH-10001918,444.768,4,Standard Class,5,Credit Card
207,12/2/2014,12/2/2014,12/8/2014,JH-15985,OFF-ST-10000642,83.92,4,Standard Class,3,PayPal
208,12/2/2014,12/2/2014,12/8/2014,JH-15985,TEC-PH-10001700,131.98,2,Standard Class,1,Bank Transfer
209,12/2/2014,12/2/2014,12/8/2014,JH-15985,OFF-BI-10003274,15.92,4,Standard Class,4,Bank Transfer
210,12/2/2014,12/2/2014,12/8/2014,JH-15985,OFF-FA-10000134,52.29,9,Standard Class,3,Credit Card
211,12/2/2014,12/2/2014,12/8/2014,JH-15985,OFF-ST-10001522,91.99,1,Standard Class,4,Bank Transfer
212,2/9/2012,2/9/2012,2/13/2012,MS-17980,TEC-AC-10001266,20.8,2,Second Class,5,PayPal
213,1/2/2012,1/2/2012,1/9/2012,VW-21775,OFF-LA-10004544,23.68,2,Standard Class,5,Credit Card
214,1/2/2012,1/2/2012,1/9/2012,VW-21775,FUR-BO-10004695,452.45,5,Standard Class,5,Credit Card
215,1/2/2012,1/2/2012,1/9/2012,VW-21775,TEC-PH-10002844,62.982,3,Standard Class,2,Credit Card
216,1/2/2012,1/2/2012,1/9/2012,VW-21775,TEC-MA-10000864,1188,9,Standard Class,1,Bank Transfer
217,1/2/2012,1/2/2012,1/9/2012,VW-21775,TEC-AC-10000109,89.584,2,Standard Class,2,Credit Card
218,10/29/2013,10/29/2013,11/2/2013,JH-15910,OFF-ST-10001328,93.06,6,Standard Class,5,PayPal
219,10/29/2013,10/29/2013,11/2/2013,JH-15910,TEC-PH-10002563,302.376,3,Standard Class,1,Bank Transfer
220,12/24/2012,12/24/2012,12/27/2012,JB-15925,OFF-FA-10000585,5.584,2,First Class,1,Credit Card
221,12/24/2012,12/24/2012,12/27/2012,JB-15925,OFF-PA-10004000,22.704,6,First Class,4,Credit Card
222,12/24/2012,12/24/2012,12/27/2012,JB-15925,OFF-BI-10002852,19.776,4,First Class,4,Bank Transfer
223,12/24/2012,12/24/2012,12/27/2012,JB-15925,FUR-FU-10000087,72.704,4,First Class,2,PayPal
224,12/24/2012,12/24/2012,12/27/2012,JB-15925,TEC-MA-10001148,479.988,4,First Class,1,PayPal
225,12/24/2012,12/24/2012,12/27/2012,JB-15925,OFF-AR-10001958,27.168,2,First Class,2,PayPal
226,8/9/2012,8/9/2012,8/16/2012,DS-13180,OFF-AR-10001026,2.2,1,Standard Class,5,Credit Card
227,8/9/2012,8/9/2012,8/16/2012,DS-13180,FUR-TA-10003748,622.45,5,Standard Class,5,Credit Card
228,8/9/2012,8/9/2012,8/16/2012,DS-13180,OFF-ST-10002485,21.98,1,Standard Class,3,Credit Card
229,2/28/2012,2/28/2012,3/4/2012,VD-21670,FUR-CH-10004860,161.568,2,Standard Class,5,Bank Transfer
230,2/28/2012,2/28/2012,3/4/2012,VD-21670,FUR-CH-10004477,389.696,8,Standard Class,4,PayPal
231,9/13/2011,9/13/2011,9/17/2011,EA-14035,OFF-BI-10001679,18.648,7,Standard Class,5,PayPal
