TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,CustomerSatisfactionScore,PaymentType
140,5/4/2025,1172,2095,403,3,2453.95,4,Bank Transfer
141,5/4/2025,1163,2047,401,1,301.48,10,Bank Transfer
142,5/4/2025,1120,2003,403,1,1039.99,7,Bank Transfer
143,5/4/2025,1165,2008,404,2,53.27,9,Cash
144,5/4/2025,1166,2052,401,1,658.13,7,Bank Transfer
145,5/4/2025,1011,2004,403,3,3709,1,Debit Card
146,5/4/2025,1029,2012,402,1,0,1,Cash
147,5/4/2025,1099,2058,403,3,666.75,9,Bank Transfer
148,5/4/2025,1150,2095,402,3,490.79,9,Cash
149,5/4/2025,1167,2012,404,3,0,4,PayPal
150,5/4/2025,1071,2004,403,1,834.52,9,Debit Card
151,5/4/2025,1113,2056,402,2,839.55,3,Bank Transfer
152,5/4/2025,1025,2087,403,2,0,7,PayPal
153,5/4/2025,1015,2050,403,1,504.31,6,PayPal
154,5/4/2025,1031,2058,401,1,2400.3,8,Cash
155,5/4/2025,1164,2081,401,0,2984.88,9,PayPal
156,5/4/2025,1085,2031,402,1,508.77,5,Debit Card
157,5/4/2025,1017,2097,402,1,757.89,1,Debit Card
158,5/4/2025,1059,2042,402,0,0,3,Credit Card
159,5/4/2025,1070,2018,402,2,0,10,Debit Card
160,5/4/2025,1044,2014,401,1,886.68,8,PayPal
161,5/4/2025,1003,2045,402,2,499.42,6,Debit Card
162,5/4/2025,1004,2022,403,0,671.18,8,Cash
163,5/4/2025,1032,2094,404,0,493.35,9,Credit Card
164,5/4/2025,1190,2008,404,3,266.36,4,PayPal
165,5/4/2025,1199,2046,401,3,167.15,1,Credit Card
166,5/4/2025,1128,2028,401,2,2041.41,1,PayPal
167,5/4/2025,1117,2082,401,0,799.8,10,Cash
168,5/4/2025,1122,2051,404,0,234.64,4,Credit Card
169,5/4/2025,1125,2091,404,0,1811.58,7,Bank Transfer
170,5/4/2025,1020,2041,402,0,0,2,PayPal
171,5/4/2025,1032,2035,403,3,4499.95,3,Bank Transfer
172,5/4/2025,1152,2067,403,3,872.85,1,Credit Card
173,5/4/2025,1129,2077,404,0,2809.15,5,Bank Transfer
174,5/4/2025,1179,2014,402,3,738.9,1,Bank Transfer
175,5/4/2025,1115,2029,404,2,0,8,Credit Card
176,5/4/2025,1116,2051,404,0,351.96,1,Cash
177,5/4/2025,1080,2054,403,2,3602.04,1,Bank Transfer
178,5/4/2025,1095,2019,404,0,933.93,2,Bank Transfer
179,5/4/2025,1023,2010,401,3,0,2,Cash
180,5/4/2025,1024,2095,403,1,3533.69,6,Bank Transfer
181,5/4/2025,1142,2007,403,0,583.39,7,Bank Transfer
182,5/4/2025,1105,2045,404,0,624.28,5,Bank Transfer
183,5/4/2025,1073,2076,403,2,1934.57,1,Debit Card
184,5/4/2025,1026,2073,402,1,1797.95,1,Cash
185,5/4/2025,1168,2061,402,0,599.76,3,Bank Transfer
186,5/4/2025,1089,2071,403,0,0,2,Cash
187,5/4/2025,1195,2035,402,3,0,5,PayPal
188,5/4/2025,1143,2098,401,2,2178.86,10,PayPal
189,5/4/2025,1007,2023,403,2,751.63,6,Bank Transfer
190,5/4/2025,1086,2044,401,1,373.64,7,Cash
191,5/4/2025,1036,2072,404,0,1260.9,4,Cash
192,5/4/2025,1036,2094,401,0,2466.75,7,Cash
193,5/4/2025,1191,2067,402,3,872.85,8,Debit Card
194,5/4/2025,1107,2058,403,1,1800.22,1,PayPal
195,5/4/2025,1094,2039,403,0,1952.88,6,Cash
196,5/4/2025,1013,2019,402,0,0,8,Cash
197,5/4/2025,1172,2010,403,3,0,5,Debit Card
198,5/4/2025,1169,2054,404,3,900.51,4,Debit Card
199,5/4/2025,1106,2034,402,0,136.17,2,Cash
200,5/4/2025,1088,2055,401,2,129.46,6,Credit Card
201,5/4/2025,1173,2086,404,2,715.28,6,Cash
202,5/4/2025,1011,2028,404,0,0,1,Cash
203,5/4/2025,1001,2026,403,1,190.4,9,Debit Card
204,5/4/2025,1196,2017,403,2,370.96,6,Debit Card
205,5/4/2025,1083,2015,401,3,0,3,Cash
206,5/4/2025,1191,2055,402,1,48.55,4,Cash
207,5/4/2025,1097,2068,402,2,1312.38,4,Cash
208,5/4/2025,1018,2050,401,3,0,3,Debit Card
209,5/4/2025,1004,2058,401,2,1066.8,10,Cash
210,5/4/2025,1147,2054,404,3,2701.53,3,Cash
211,5/4/2025,1074,2014,404,0,738.9,3,Bank Transfer
212,5/4/2025,1083,2021,404,2,668.33,4,Credit Card
213,5/4/2025,1022,2055,401,1,97.09,7,PayPal
214,5/4/2025,1111,2075,404,0,1561.28,4,Credit Card
215,5/4/2025,1101,2039,403,1,2636.39,9,Bank Transfer
216,5/4/2025,1085,2099,402,0,646.32,1,PayPal
217,5/4/2025,1130,2081,401,1,1343.2,8,Cash
218,5/4/2025,1198,2044,403,1,186.82,7,Bank Transfer
219,5/4/2025,1060,2013,402,2,0,2,Cash
220,5/4/2025,1050,2022,402,0,671.18,8,Debit Card
221,5/4/2025,1045,2098,404,3,907.86,1,Bank Transfer
222,5/4/2025,1193,2072,404,2,1681.2,9,Debit Card
223,5/4/2025,1160,2040,402,3,138.16,9,Bank Transfer
224,5/4/2025,1017,2060,404,2,0,2,Bank Transfer
225,5/4/2025,1070,2075,401,2,624.51,7,Debit Card
226,5/4/2025,1129,2009,403,3,198.93,10,PayPal
227,5/4/2025,1115,2004,401,2,2225.4,3,Credit Card
228,5/4/2025,1073,2009,401,3,66.31,7,Cash
229,5/4/2025,1118,2074,401,3,659.5,10,Bank Transfer
230,5/4/2025,1146,2083,402,2,614.53,9,Cash
231,5/4/2025,1154,2060,402,0,408.38,4,Debit Card
232,5/4/2025,1115,2013,403,0,2806.08,1,Cash
233,5/4/2025,1129,2082,402,0,1066.4,2,Debit Card
234,5/4/2025,1063,2090,404,3,71.64,1,Cash
235,5/4/2025,1134,2066,402,2,1238.54,5,Credit Card
236,5/4/2025,1095,2036,404,3,653.94,5,Credit Card
237,5/4/2025,1198,2043,401,2,1397.52,7,Credit Card
238,5/4/2025,1016,2042,401,3,0,9,Credit Card
239,5/4/2025,1072,2032,402,2,1512.96,9,Credit Card
240,5/4/2025,1020,2074,402,2,527.6,3,Credit Card
241,5/4/2025,1079,2083,404,1,691.34,3,Debit Card
242,5/4/2025,1152,2090,401,2,57.31,3,Bank Transfer
243,5/4/2025,1143,2048,403,1,0,4,Cash
244,5/4/2025,1171,2089,401,3,1654.08,8,Credit Card
245,5/4/2025,1130,2046,401,2,106.98,6,Debit Card
246,5/4/2025,1079,2023,402,2,3006.53,8,Debit Card
247,5/4/2025,1196,2062,402,1,1114.85,1,Debit Card
248,5/4/2025,1035,2019,401,2,0,8,Bank Transfer
249,5/4/2025,1025,2064,401,2,705.7,4,Cash
250,5/4/2025,1196,2079,402,3,2851.62,1,Bank Transfer
251,5/4/2025,1039,2020,402,1,338.25,8,PayPal
252,5/4/2025,1184,2056,401,3,1574.16,4,Debit Card
253,5/4/2025,1093,2086,402,3,3576.4,6,PayPal
254,5/4/2025,1156,2036,404,1,392.36,8,Credit Card
255,5/4/2025,1136,2030,403,3,509.91,4,Credit Card
256,5/4/2025,1049,2047,404,3,1674.9,3,Bank Transfer
257,5/4/2025,1196,2036,404,3,0,9,Cash
258,5/4/2025,1041,2025,402,2,671.09,3,PayPal
259,5/4/2025,1013,2082,404,2,1066.4,9,Cash
260,5/4/2025,1141,2013,401,2,748.29,2,Bank Transfer
261,5/4/2025,1021,2097,402,2,673.68,2,Credit Card
262,5/4/2025,1115,2065,402,3,1881.36,2,Cash
263,5/4/2025,1023,2028,404,2,510.35,6,Cash
264,5/4/2025,1006,2053,401,3,610.15,3,Credit Card
265,5/4/2025,1128,2047,402,3,1004.94,9,PayPal
266,5/4/2025,1020,2047,402,0,669.96,4,Credit Card
267,5/4/2025,1081,2012,403,1,1682.61,1,Cash
268,5/4/2025,1035,2004,403,3,927.25,4,PayPal
269,5/4/2025,1178,2017,404,3,1854.8,1,PayPal
270,5/4/2025,1157,2000,401,0,1938.62,5,Credit Card
271,5/4/2025,1065,2027,402,3,775.83,4,Cash
272,5/4/2025,1028,2099,403,1,3490.13,8,Bank Transfer
273,5/4/2025,1077,2015,401,1,1822.42,8,Cash
274,5/4/2025,1107,2081,404,0,2238.66,7,Debit Card
275,5/4/2025,1028,2063,401,1,994.43,3,Bank Transfer
276,5/4/2025,1183,2018,403,3,2711.3,1,PayPal
277,5/4/2025,1000,2078,403,1,0,1,Bank Transfer
278,5/4/2025,1146,2053,402,0,1220.3,3,PayPal
279,5/4/2025,1134,2046,401,0,33.43,6,PayPal
280,5/4/2025,1099,2060,401,3,1633.52,7,Bank Transfer
281,5/4/2025,1095,2032,401,2,1512.96,6,PayPal
282,5/4/2025,1017,2044,402,0,207.58,6,PayPal
283,5/4/2025,1197,2074,403,1,593.55,6,Debit Card
284,5/4/2025,1011,2045,403,1,842.78,3,Cash
285,5/4/2025,1199,2087,404,3,159.32,6,Cash
286,5/4/2025,1161,2023,402,0,939.54,8,Debit Card
287,5/4/2025,1183,2099,404,0,1292.64,2,Bank Transfer
288,5/4/2025,1075,2025,401,1,0,5,Credit Card
289,5/4/2025,1010,2040,403,3,138.16,1,Credit Card
290,5/4/2025,1139,2060,403,0,1225.14,1,Credit Card
291,5/4/2025,1192,2082,402,2,213.28,5,Debit Card
292,5/4/2025,1091,2099,401,2,1034.11,3,Debit Card
293,5/4/2025,1069,2015,403,3,2699.88,4,PayPal
294,5/4/2025,1102,2095,404,3,1472.37,3,Credit Card
295,5/4/2025,1086,2023,404,3,3758.16,1,Bank Transfer
296,5/4/2025,1094,2066,403,0,1032.12,1,Bank Transfer
297,5/4/2025,1186,2054,401,3,0,5,Credit Card
298,5/4/2025,1154,2023,403,2,751.63,6,Credit Card
299,5/4/2025,1026,2010,403,2,62.27,3,Credit Card
300,5/4/2025,1078,2057,404,1,393.28,9,Debit Card
301,5/4/2025,1176,2056,403,3,524.72,5,Debit Card
302,5/4/2025,1010,2093,403,3,0,8,Debit Card
303,5/4/2025,1070,2081,401,0,1492.44,1,Cash
304,5/4/2025,1171,2081,404,2,596.98,5,Bank Transfer
305,5/4/2025,1131,2095,402,0,1472.37,3,Bank Transfer
306,5/4/2025,1036,2077,404,0,1123.66,1,PayPal
307,5/4/2025,1032,2008,402,2,106.54,4,Debit Card
308,5/4/2025,1092,2049,401,1,0,5,Cash
309,5/4/2025,1173,2057,403,2,349.58,7,Cash
310,5/4/2025,1113,2097,401,1,757.89,1,Bank Transfer
311,5/4/2025,1135,2046,404,2,80.23,3,Debit Card
312,5/4/2025,1166,2035,402,0,899.99,2,PayPal
313,5/4/2025,1006,2094,402,3,1480.05,9,Debit Card
314,5/4/2025,1132,2049,401,2,1503.74,10,Credit Card
315,5/4/2025,1198,2033,404,1,2257.88,6,Debit Card
316,5/4/2025,1156,2036,404,1,784.73,10,Credit Card
317,5/4/2025,1031,2017,401,3,0,3,Credit Card
318,5/4/2025,1044,2091,404,0,1811.58,8,PayPal
319,5/4/2025,1174,2040,403,0,34.54,8,Bank Transfer
320,5/4/2025,1140,2069,403,2,557.74,2,Debit Card
321,5/4/2025,1040,2091,402,2,724.63,6,Credit Card
322,5/4/2025,1130,2028,401,1,574.15,7,Debit Card
323,5/4/2025,1035,2030,404,0,339.94,2,Bank Transfer
324,5/4/2025,1092,2070,403,3,102.54,10,Bank Transfer
325,5/4/2025,1141,2016,401,0,0,2,Cash
326,5/4/2025,1079,2050,404,3,186.78,10,Bank Transfer
327,5/4/2025,1196,2052,401,1,2632.54,1,PayPal
328,5/4/2025,1081,2082,401,3,1066.4,8,Credit Card
329,5/4/2025,1119,2087,403,1,0,1,Cash
330,5/4/2025,1199,2070,402,1,30.76,9,PayPal
331,5/4/2025,1110,2064,401,0,0,6,Debit Card
332,5/4/2025,1132,2019,403,1,1681.07,7,Credit Card
333,5/4/2025,1041,2041,402,2,643.37,10,Bank Transfer
334,5/4/2025,1132,2036,401,2,348.77,7,Credit Card
335,5/4/2025,1050,2081,403,1,2686.39,10,Debit Card
336,5/4/2025,1160,2038,401,1,0,3,Cash
337,5/4/2025,1151,2074,402,1,1187.1,2,Cash
338,5/4/2025,1168,2079,403,0,1901.08,9,Cash
339,5/4/2025,1007,2010,401,2,62.27,8,Bank Transfer
340,5/4/2025,1166,2026,404,0,0,10,PayPal
341,5/4/2025,1127,2080,403,2,1997.42,7,PayPal
342,5/4/2025,1123,2031,404,2,1356.72,9,Credit Card
343,5/4/2025,1116,2009,401,1,119.36,4,Bank Transfer
344,5/4/2025,1112,2053,404,3,0,4,Cash
345,5/4/2025,1052,2043,402,2,698.76,1,Cash
346,5/4/2025,1183,2040,403,3,103.62,8,Debit Card
347,5/4/2025,1033,2097,403,0,4210.5,3,Debit Card
348,5/4/2025,1081,2030,404,0,339.94,7,Cash
349,5/4/2025,1068,2057,402,1,1179.85,2,Cash
350,5/4/2025,1024,2006,403,3,594,2,Bank Transfer
351,5/4/2025,1157,2053,402,1,1098.27,7,PayPal
352,5/4/2025,1083,2073,403,1,2247.44,6,Debit Card
353,5/4/2025,1195,2020,404,3,1879.15,3,PayPal
354,5/4/2025,1127,2039,404,0,1952.88,9,Bank Transfer
355,5/4/2025,1023,2050,404,1,0,10,Cash
356,5/4/2025,1055,2074,403,0,1978.5,6,PayPal
357,5/4/2025,1012,2036,404,3,653.94,10,Cash
358,5/4/2025,1073,2068,401,0,2460.72,10,Cash
359,5/4/2025,1110,2017,403,2,370.96,6,Credit Card
360,5/4/2025,1195,2051,403,0,117.32,1,PayPal
361,5/4/2025,1102,2006,402,2,792,4,PayPal
362,5/4/2025,1141,2036,401,3,871.92,10,Cash
363,5/4/2025,1129,2057,403,0,1747.92,6,Bank Transfer
364,5/4/2025,1032,2012,404,2,997.1,6,Credit Card
365,5/4/2025,1086,2071,403,1,553.64,5,Cash
366,5/4/2025,1050,2077,404,0,561.83,1,Debit Card
367,5/4/2025,1011,2004,402,2,0,8,Debit Card
368,5/4/2025,1121,2066,404,1,0,5,Credit Card
369,5/4/2025,1155,2065,402,2,1128.82,5,Bank Transfer
370,5/4/2025,1156,2040,402,3,138.16,7,Cash
371,5/4/2025,1157,2094,403,2,1578.72,4,PayPal
372,5/4/2025,1129,2065,404,2,752.54,6,Credit Card
373,5/4/2025,1121,2002,403,2,2771.2,4,Bank Transfer
374,5/4/2025,1172,2014,404,2,197.04,3,PayPal
375,5/4/2025,1185,2088,401,3,2128.05,7,Debit Card
376,5/4/2025,1067,2083,402,0,0,8,Debit Card
377,5/4/2025,1149,2061,402,3,1199.52,4,PayPal
378,5/4/2025,1037,2087,402,0,318.64,2,Credit Card
379,5/4/2025,1146,2089,401,1,744.34,10,Debit Card
380,5/4/2025,1004,2056,403,3,2098.88,3,Cash
381,5/4/2025,1038,2052,402,3,2193.78,1,PayPal
382,5/4/2025,1128,2099,404,0,3877.92,8,PayPal
383,5/4/2025,1180,2017,402,2,741.92,3,Debit Card
384,5/4/2025,1169,2061,404,2,319.87,10,Credit Card
385,5/4/2025,1044,2058,403,2,1066.8,7,Cash
386,5/4/2025,1173,2098,403,3,3631.44,10,Credit Card
387,5/4/2025,1049,2031,403,2,1356.72,5,Bank Transfer
388,5/4/2025,1057,2038,403,1,2501.58,10,Bank Transfer
389,5/4/2025,1176,2090,404,2,343.87,5,Debit Card
390,5/4/2025,1122,2044,403,2,166.06,7,Debit Card
391,5/4/2025,1031,2073,404,3,1498.29,9,Debit Card
392,5/4/2025,1088,2098,402,2,726.29,5,Bank Transfer
393,5/4/2025,1010,2036,401,2,348.77,1,Credit Card
394,5/4/2025,1113,2083,403,3,3072.64,10,Credit Card
395,5/4/2025,1054,2025,403,2,671.09,10,Debit Card
396,5/4/2025,1035,2013,402,1,1683.65,1,Cash
397,5/4/2025,1012,2085,402,1,217.94,2,Credit Card
398,5/4/2025,1013,2012,404,2,1994.21,6,Bank Transfer
399,5/4/2025,1183,2060,401,1,367.54,9,PayPal
400,5/4/2025,1001,2070,402,3,102.54,8,PayPal
401,5/4/2025,1167,2060,404,1,735.08,5,PayPal
402,5/4/2025,1193,2036,403,2,348.77,1,Cash
403,5/4/2025,1165,2007,401,1,0,7,Debit Card
404,5/4/2025,1136,2094,401,1,1776.06,5,Bank Transfer
405,5/4/2025,1106,2022,401,3,671.18,6,Cash
406,5/4/2025,1126,2023,403,0,0,7,Bank Transfer
407,5/4/2025,1002,2038,401,2,1482.42,3,Bank Transfer
408,5/4/2025,1072,2058,404,1,1200.15,10,Debit Card
409,5/4/2025,1129,2059,403,1,1382.54,3,PayPal
410,5/4/2025,1028,2042,402,3,502.83,5,Debit Card
411,5/4/2025,1165,2032,402,0,0,6,Cash
412,5/4/2025,1188,2043,403,1,1572.21,9,Cash
413,5/4/2025,1044,2078,404,3,426.03,5,Cash
414,5/4/2025,1131,2041,401,3,3216.84,1,Debit Card
415,5/4/2025,1171,2012,402,1,1121.74,4,Bank Transfer
416,5/4/2025,1122,2041,402,0,1608.42,5,Bank Transfer
417,5/4/2025,1066,2049,402,3,0,10,Credit Card
418,5/4/2025,1192,2034,403,2,326.81,10,Cash
419,5/4/2025,1149,2092,401,2,1157.3,5,Bank Transfer
420,5/4/2025,1167,2046,402,0,133.72,7,Credit Card
421,5/4/2025,1170,2015,404,2,0,4,Bank Transfer
422,5/4/2025,1040,2051,403,0,469.28,1,Cash
423,5/4/2025,1163,2037,403,1,0,5,PayPal
424,5/4/2025,1056,2017,404,1,834.66,7,Cash
425,5/4/2025,1116,2095,403,3,490.79,10,Debit Card
426,5/4/2025,1179,2070,404,1,61.52,10,Bank Transfer
427,5/4/2025,1195,2031,401,3,1695.9,6,Bank Transfer
428,5/4/2025,1135,2090,403,0,0,5,Debit Card
429,5/4/2025,1144,2014,401,1,443.34,4,Debit Card
430,5/4/2025,1146,2068,402,1,2952.86,2,PayPal
431,5/4/2025,1083,2066,404,0,516.06,4,Bank Transfer
432,5/4/2025,1174,2026,404,0,423.12,10,Bank Transfer
433,5/4/2025,1130,2057,401,3,1747.92,10,PayPal
434,5/4/2025,1033,2065,404,3,0,3,Credit Card
435,5/4/2025,1144,2007,404,2,933.42,10,PayPal
436,5/4/2025,1185,2002,404,2,692.8,1,Cash
437,5/4/2025,1000,2095,402,0,0,8,Bank Transfer
438,5/4/2025,1011,2054,403,0,900.51,5,Debit Card
439,5/4/2025,1138,2007,401,3,2333.56,4,Cash
440,5/4/2025,1008,2036,404,1,196.18,8,Bank Transfer
441,5/4/2025,1196,2017,404,2,741.92,7,PayPal
442,5/4/2025,1097,2057,404,3,436.98,2,Cash
443,5/4/2025,1020,2087,402,2,637.28,1,Bank Transfer
444,5/4/2025,1030,2022,404,1,604.06,4,Credit Card
445,5/4/2025,1186,2028,401,0,2551.76,8,Credit Card
446,5/4/2025,1076,2059,404,3,1536.15,2,Debit Card
447,5/4/2025,1058,2031,404,2,0,3,Bank Transfer
448,5/4/2025,1039,2035,402,0,899.99,1,Credit Card
449,5/4/2025,1008,2084,404,0,845.55,1,PayPal
450,5/4/2025,1061,2026,401,0,423.12,3,Bank Transfer
451,5/4/2025,1152,2004,404,0,2781.75,5,PayPal
452,5/4/2025,1062,2094,401,3,1973.4,3,PayPal
